,id,name
0,6581.0,Jonathan Rodríguez Menéndez
1,6855.0,Guillermo Alfonso Maripán Loaysa
4,6613.0,Rubén Sobrino Pozuelo
5,5203.0,Sergio Busquets i Burgos
6,5470.0,Ivan Rakitić
8,6618.0,Martín Aguirregabiria Padilla
9,5477.0,Ousmane Dembélé
12,5211.0,Jordi Alba Ramos
14,5246.0,Luis Alberto Suárez Díaz
15,6615.0,Víctor Laguardia Cisneros
19,20055.0,Marc-André ter Stegen
22,5213.0,Gerard Piqué Bernabéu
25,6374.0,Nélson Cabral Semedo
28,6379.0,Sergi Roberto Carnicer
33,5492.0,Samuel Yves Umtiti
52,5503.0,Lionel Andrés Messi Cuccittini
58,6612.0,Rubén Duarte Sánchez
76,6617.0,Ibai Gómez Pérez
121,6626.0,Mubarak Wakaso
143,6629.0,Fernando Pacheco Flores
150,6632.0,Manuel Alejandro García Sánchez
226,6839.0,Daniel Alejandro Torres Rojas
1890,3501.0,Philippe Coutinho Correia
3004,6566.0,Borja González Tomás
3059,6935.0,Adrián Marín Gómez
3073,6624.0,Jorge Franco Alviz
3298,11392.0,Arthur Henrique Ramos de Oliveira Melo
3565,8206.0,Arturo Erasmo Vidal Pardo
